type	latency	desc	latencyEEG	latencylastEMGpoint
SB_Start_Beep	351316.926968	0_6_1	351.314000	351.316500
SB_Start_Beep	427254.558078	6_3_2	427.252000	427.254500
SB_Start_Beep	471968.340874	3_1_3	471.966000	471.968000
SB_Start_Beep	510600.153209	1_1_4	510.598000	510.600000
SB_Start_Beep	547965.971700	1_3_5	547.964000	547.965500
SB_Start_Beep	585851.787658	3_6_6	585.850000	585.851500
SB_Start_Beep	828660.608156	6_6_7	828.660000	828.660500
SB_Start_Beep	879224.362534	6_1_8	879.224000	879.224000
SB_Start_Beep	928616.122599	1_3_9	928.616000	928.616000
SB_Start_Beep	971051.916461	3_1_10	971.052000	971.051500
SB_Start_Beep	1088863.344163	1_3_11	1088.864000	1088.863000
SB_Start_Beep	1132335.132986	3_6_12	1132.336000	1132.335000
SB_Start_Beep	1176232.919746	6_3_13	1176.234000	1176.232500
SB_Start_Beep	1219922.707510	3_6_14	1219.924000	1219.922500
SB_Start_Beep	1264944.488810	6_1_15	1264.946000	1264.944000
SB_Start_Beep	1306212.288339	1_3_16	1306.214000	1306.212000
SB_Start_Beep	1345478.097594	3_1_17	1345.480000	1345.478000
SB_Start_Beep	1384723.906952	1_6_18	1384.726000	1384.723500
SB_Start_Beep	1427129.700954	6_1_19	1427.132000	1427.129500
SB_Start_Beep	1491053.390432	1_3_20	1491.056000	1491.053000
SB_Start_Beep	1538571.159600	3_6_21	1538.574000	1538.571000
SB_Start_Beep	1580448.956173	6_6_22	1580.452000	1580.448500
SB_Start_Beep	1621094.758724	6_3_23	1621.098000	1621.094500
SB_Start_Beep	1662454.557806	3_1_24	1662.458000	1662.454500
SB_Start_Beep	1702470.363424	1_6_25	1702.474000	1702.470000
SB_Start_Beep	1741700.172854	6_3_26	1741.704000	1741.700000
SB_Start_Beep	1780175.985953	3_1_27	1780.180000	1780.175500
SB_Start_Beep	1817483.804719	1_1_28	1817.488000	1817.483500
SB_Start_Beep	1855713.619006	1_6_29	1855.718000	1855.713500
SB_Start_Beep	1894135.432368	6_3_30	1894.140000	1894.135000
SB_Start_Beep	1931101.252795	3_1_31	1931.106000	1931.101000
SB_Start_Beep	1969687.065353	1_3_32	1969.692000	1969.687000
SB_Start_Beep	2006436.886836	3_6_33	2006.442000	2006.436500
SB_Start_Beep	2043830.705185	6_3_34	2043.836000	2043.830500
SB_Start_Beep	2082198.518802	3_6_35	2082.204000	2082.198500
SB_Start_Beep	2123668.317357	6_1_36	2123.674000	2123.668000
SB_Start_Beep	2161056.135734	1_1_37	2161.062000	2161.056000
SB_Start_Beep	2200705.943130	1_6_38	2200.712000	2200.705500
SB_Start_Beep	2237763.763111	6_3_39	2237.770000	2237.763500
SB_Start_Beep	2277235.571365	3_6_40	2277.242000	2277.235500
SB_Start_Beep	2316703.379645	6_3_41	2316.710000	2316.703000
SB_Start_Beep	2355959.188948	3_1_42	2355.966000	2355.959000
SB_Start_Beep	2415228.901034	1_3_43	2415.236000	2415.228500
SB_Start_Beep	2466228.653288	3_1_44	2466.236000	2466.228500
SB_Start_Beep	2528786.349402	1_6_45	2528.794000	2528.786000
SB_Start_Beep	2564952.173715	6_6_46	2564.960000	2564.952000
SB_Start_Beep	2608739.961010	6_3_47	2608.748000	2608.739500
SB_Start_Beep	2646593.777124	3_1_48	2646.602000	2646.593500
SB_Start_Beep	2741931.339925	1_1_49	2742.430000	2741.931000
SB_Start_Beep	2780899.158780	1_6_50	2781.398000	2780.899000
SB_Start_Beep	2818634.983368	6_3_51	2819.134000	2818.634500
SB_Start_Beep	2854706.815685	3_6_52	2855.206000	2854.706500
SB_Start_Beep	2890778.648002	6_1_53	2891.278000	2890.778500
SB_Start_Beep	2931642.458050	1_3_54	2932.142000	2931.642000
SB_Start_Beep	3154229.423350	3_3_55	3154.730000	3154.229000
SB_Start_Beep	3212169.154012	3_1_56	3212.670000	3212.169000
SB_Start_Beep	3260500.929345	1_6_57	3261.002000	3260.500500
SB_Start_Beep	3297624.756772	6_6_58	3298.126000	3297.624500
SB_Start_Beep	3342576.547810	6_3_59	3343.078000	3342.576500
SB_Start_Beep	3380338.372277	3_1_60	3380.840000	3380.338000
SB_Start_Beep	3442648.082626	1_3_61	3443.150000	3442.648000
SB_Start_Beep	3481065.904044	3_1_62	3481.568000	3481.065500
SB_Start_Beep	3519545.725167	1_6_63	3520.048000	3519.545500
SB_Start_Beep	3560799.533396	6_6_64	3561.302000	3560.799500
SB_Start_Beep	3597923.360829	6_3_65	3598.426000	3597.923000
SB_Start_Beep	3637957.174729	3_1_66	3638.460000	3637.957000
SB_Start_Beep	3674657.004127	1_1_67	3675.160000	3674.657000
SB_Start_Beep	3712180.829701	1_6_68	3712.684000	3712.180500
SB_Start_Beep	3754064.635000	6_3_69	3754.568000	3754.064500
SB_Start_Beep	3791954.458873	3_1_70	3792.458000	3791.954000
SB_Start_Beep	3829948.282256	1_3_71	3830.452000	3829.948000
SB_Start_Beep	3976859.599333	3_6_72	3977.364000	3976.859500
SB_Start_Beep	4017093.412309	6_1_73	4017.598000	4017.093000
SB_Start_Beep	4054109.240238	1_3_74	4054.614000	4054.109000
