type	latency	desc	latencyEEG	latencylastEMGpoint
SB_Start_Beep	50714.520508	0_3_1	50.574000	50.714500
SB_Start_Beep	101512.323710	3_6_2	101.372000	101.512000
SB_Start_Beep	167906.066481	6_1_3	167.766000	167.906000
SB_Start_Beep	248973.752409	1_1_4	248.834000	248.973500
SB_Start_Beep	288511.599228	1_6_5	288.372000	288.511500
SB_Start_Beep	328751.443334	6_3_6	328.612000	328.751000
SB_Start_Beep	366273.297964	3_6_7	366.134000	366.273000
SB_Start_Beep	403217.154833	6_3_8	403.078000	403.217000
SB_Start_Beep	440265.011299	3_1_9	440.126000	440.265000
SB_Start_Beep	684000.067013	1_1_10	683.862000	684.000000
SB_Start_Beep	725139.907632	1_3_11	725.002000	725.139500
SB_Start_Beep	764111.756644	3_6_12	763.974000	764.111500
SB_Start_Beep	803379.604509	6_1_13	803.242000	803.379500
SB_Start_Beep	846187.438667	1_3_14	846.050000	846.187000
SB_Start_Beep	885535.286222	3_6_15	885.398000	885.535000
SB_Start_Beep	1030084.726203	6_6_16	1029.948000	1030.084500
SB_Start_Beep	1085606.511095	6_1_17	1085.470000	1085.606500
SB_Start_Beep	1129748.340084	1_3_18	1129.612000	1129.748000
SB_Start_Beep	1171372.178822	3_1_19	1171.236000	1171.372000
SB_Start_Beep	1212182.020713	1_6_20	1212.046000	1212.182000
SB_Start_Beep	1254115.858256	6_3_21	1253.980000	1254.115500
SB_Start_Beep	1293147.707035	3_3_22	1293.012000	1293.147500
SB_Start_Beep	1335375.543433	3_6_23	1335.240000	1335.375500
SB_Start_Beep	1373479.395814	6_1_24	1373.344000	1373.479000
SB_Start_Beep	1410725.251513	1_6_25	1410.590000	1410.725000
SB_Start_Beep	1450509.097379	6_3_26	1450.374000	1450.509000
SB_Start_Beep	1489748.945359	3_1_27	1489.614000	1489.748500
SB_Start_Beep	1528524.795131	1_6_28	1528.390000	1528.524500
SB_Start_Beep	1572254.625709	6_1_29	1572.120000	1572.254500
SB_Start_Beep	1616620.453830	1_3_30	1616.486000	1616.620000
SB_Start_Beep	1654898.305530	3_3_31	1654.764000	1654.898000
