type	latency	desc	latencyEEG	latencylastEMGpoint
SB_Start_Beep	239950.418724	0_3_1	239.930000	239.950000
SB_Start_Beep	284186.198579	3_6_2	284.166000	284.186000
SB_Start_Beep	323262.004114	6_1_3	323.242000	323.262000
SB_Start_Beep	616298.545803	1_3_4	616.280000	616.298500
SB_Start_Beep	805561.603927	3_6_5	805.544000	805.561500
SB_Start_Beep	843319.416028	6_1_6	843.302000	843.319000
SB_Start_Beep	919989.034472	1_1_7	919.972000	919.989000
SB_Start_Beep	962212.824347	1_6_8	962.196000	962.212500
SB_Start_Beep	1000682.632898	6_3_9	1000.666000	1000.682500
SB_Start_Beep	1133891.969979	3_3_10	1133.876000	1133.891500
SB_Start_Beep	1179841.741305	3_6_11	1179.826000	1179.841500
SB_Start_Beep	1217993.551438	6_1_12	1217.978000	1217.993500
SB_Start_Beep	1258049.352102	1_1_13	1258.034000	1258.049000
SB_Start_Beep	1296273.161877	1_3_14	1296.258000	1296.273000
SB_Start_Beep	1334784.970225	3_6_15	1334.770000	1334.784500
SB_Start_Beep	1395398.668574	6_3_16	1395.384000	1395.398500
SB_Start_Beep	1434492.474026	3_6_17	1434.478000	1434.492000
SB_Start_Beep	1472676.283999	6_1_18	1472.662000	1472.676000
SB_Start_Beep	1512958.083532	1_3_19	1512.944000	1512.958000
SB_Start_Beep	1551461.891920	3_1_20	1551.448000	1551.461500
SB_Start_Beep	1595575.672383	1_6_21	1595.562000	1595.575500
SB_Start_Beep	1634865.476859	6_6_22	1634.852000	1634.865000
SB_Start_Beep	1672153.291292	6_3_23	1672.140000	1672.153000
SB_Start_Beep	1709525.105307	3_1_24	1709.512000	1709.525000
SB_Start_Beep	1750898.899412	1_6_25	1750.886000	1750.898500
SB_Start_Beep	1790092.704359	6_3_26	1790.080000	1790.092500
SB_Start_Beep	1827586.517767	3_1_27	1827.574000	1827.586500
SB_Start_Beep	1867130.320979	1_3_28	1867.118000	1867.130000
SB_Start_Beep	1907538.119885	3_1_29	1907.526000	1907.538000
SB_Start_Beep	1945255.932185	1_6_30	1945.244000	1945.255500
SB_Start_Beep	1982769.745493	6_1_31	1982.758000	1982.769500
SB_Start_Beep	2021217.554153	1_6_32	2021.206000	2021.217500
SB_Start_Beep	2058693.367657	6_3_33	2058.682000	2058.693000
SB_Start_Beep	2097103.176506	3_6_34	2097.092000	2097.103000
SB_Start_Beep	2138054.972711	6_1_35	2138.044000	2138.054500
SB_Start_Beep	2176558.781092	1_3_36	2176.548000	2176.558500
SB_Start_Beep	2214234.593594	3_3_37	2214.224000	2214.234500
SB_Start_Beep	2253006.400649	3_6_38	2252.996000	2253.006000
SB_Start_Beep	2290890.212115	6_1_39	2290.880000	2290.890000
SB_Start_Beep	2363415.851190	1_3_40	2363.406000	2363.415500
SB_Start_Beep	2401375.662278	3_6_41	2401.366000	2401.375500
SB_Start_Beep	2439697.471572	6_1_42	2439.688000	2439.697000
SB_Start_Beep	2485165.985230	1_6_43	2485.552000	2485.165500
SB_Start_Beep	2522043.811236	6_1_44	2522.430000	2522.043500
SB_Start_Beep	2560291.630777	1_3_45	2560.678000	2560.291500
SB_Start_Beep	2642799.241502	3_3_46	2643.186000	2642.799000
SB_Start_Beep	2681977.056655	3_1_47	2682.364000	2681.977000
SB_Start_Beep	2720284.875921	1_6_48	2720.672000	2720.284500
SB_Start_Beep	2759168.692461	6_6_49	2759.556000	2759.168500
SB_Start_Beep	2796586.515919	6_3_50	2796.974000	2796.586500
SB_Start_Beep	2840066.310782	3_1_51	2840.454000	2840.066000
SB_Start_Beep	2877400.134636	1_1_52	2877.788000	2877.400000
SB_Start_Beep	2914797.958194	1_3_53	2915.186000	2914.797500
SB_Start_Beep	2951683.784162	3_6_54	2952.072000	2951.683500
SB_Start_Beep	2992917.589615	6_1_55	2993.306000	2992.917500
SB_Start_Beep	3030591.411872	1_3_56	3030.980000	3030.591000
SB_Start_Beep	3069803.226865	3_6_57	3070.192000	3069.803000
SB_Start_Beep	3108745.043132	6_1_58	3109.134000	3108.745000
SB_Start_Beep	3147406.860727	1_3_59	3147.796000	3147.406500
SB_Start_Beep	3185456.681203	3_6_60	3185.846000	3185.456500
SB_Start_Beep	3222604.505934	6_3_61	3222.994000	3222.604500
SB_Start_Beep	3260002.329493	3_1_62	3260.392000	3260.002000
SB_Start_Beep	3297244.153781	1_6_63	3297.634000	3297.244000
SB_Start_Beep	3336175.970102	6_6_64	3336.566000	3336.175500
SB_Start_Beep	3376859.778150	6_3_65	3377.250000	3376.859500
SB_Start_Beep	3414029.602778	3_1_66	3414.420000	3414.029500
SB_Start_Beep	3451771.424713	1_6_67	3452.162000	3451.771000
SB_Start_Beep	3489577.246340	6_3_68	3489.968000	3489.577000
SB_Start_Beep	3526883.070326	3_1_69	3527.274000	3526.883000
SB_Start_Beep	3573492.850422	1_1_70	3573.884000	3573.492500
SB_Start_Beep	3611556.670831	1_6_71	3611.948000	3611.556500
SB_Start_Beep	3651466.482538	6_3_72	3651.858000	3651.466000
SB_Start_Beep	3689034.305288	3_6_73	3689.426000	3689.034000
SB_Start_Beep	3727846.122168	6_1_74	3728.238000	3727.846000
SB_Start_Beep	3765163.946104	1_3_75	3765.556000	3765.163500
SB_Start_Beep	3844691.570882	3_3_76	3845.084000	3844.691500
SB_Start_Beep	3881333.398008	3_6_77	3881.726000	3881.333000
SB_Start_Beep	3920309.214114	6_1_78	3920.702000	3920.309000
SB_Start_Beep	3971921.888552	1_3_79	3972.386000	3971.921500
SB_Start_Beep	4009557.719280	3_6_80	4010.022000	4009.557500
SB_Start_Beep	4046325.553911	6_1_81	4046.790000	4046.325500
SB_Start_Beep	4107119.280490	1_1_82	4107.584000	4107.119000
SB_Start_Beep	4146749.102250	1_3_83	4147.214000	4146.749000
SB_Start_Beep	4184052.934477	3_6_84	4184.518000	4184.052500
SB_Start_Beep	4221942.764063	6_3_85	4222.408000	4221.942500
SB_Start_Beep	4259178.596589	3_6_86	4259.644000	4259.178500
SB_Start_Beep	4297360.424868	6_1_87	4297.826000	4297.360000
SB_Start_Beep	4334622.257278	1_6_88	4335.088000	4334.622000
SB_Start_Beep	4372184.088339	6_1_89	4372.650000	4372.184000
SB_Start_Beep	4408981.922842	1_3_90	4409.448000	4408.981500
SB_Start_Beep	4446547.753885	3_1_91	4447.014000	4446.547500
SB_Start_Beep	4484343.583893	1_6_92	4484.810000	4484.343500
SB_Start_Beep	4521647.416121	6_3_93	4522.114000	4521.647000
SB_Start_Beep	4560623.240822	3_3_94	4561.090000	4560.623000
SB_Start_Beep	4602035.054567	3_6_95	4602.502000	4602.035000
SB_Start_Beep	4639938.884096	6_1_96	4640.406000	4639.938500
SB_Start_Beep	4677518.715075	1_1_97	4677.986000	4677.518500
SB_Start_Beep	4714998.546505	1_3_98	4715.466000	4714.998500
SB_Start_Beep	4753144.374946	3_6_99	4753.612000	4753.144000
SB_Start_Beep	4790706.206006	6_1_100	4791.174000	4790.706000
SB_Start_Beep	4828660.035304	1_3_101	4829.128000	4828.660000
SB_Start_Beep	4866563.864833	3_6_102	4867.032000	4866.563500
SB_Start_Beep	4904225.695444	6_6_103	4904.694000	4904.225500
SB_Start_Beep	4942891.521539	6_1_104	4943.360000	4942.891500
SB_Start_Beep	4981155.349449	1_3_105	4981.624000	4981.155000
SB_Start_Beep	5019827.175517	3_3_106	5020.296000	5019.827000
SB_Start_Beep	5057275.007091	3_6_107	5057.744000	5057.275000
SB_Start_Beep	5094958.837609	6_1_108	5095.428000	5094.958500
SB_Start_Beep	5133500.664262	1_6_109	5133.970000	5133.500500
SB_Start_Beep	5171594.492937	6_3_110	5172.064000	5171.594000
SB_Start_Beep	5208952.324915	3_1_111	5209.422000	5208.952000
SB_Start_Beep	5272618.038570	1_3_112	5273.088000	5272.618000
SB_Start_Beep	5312615.858681	3_6_113	5313.086000	5312.615500
SB_Start_Beep	5348659.696569	6_1_114	5349.130000	5348.659500
