type	latency	desc	latencyEEG	latencylastEMGpoint
SB_Start_Beep	36488.742893	0_3_1	36.498000	36.488500
SB_Start_Beep	78946.525112	3_6_2	78.956000	78.946500
SB_Start_Beep	114376.343387	6_1_3	114.386000	114.376000
SB_Start_Beep	152214.149305	1_6_4	152.224000	152.214000
SB_Start_Beep	187499.968318	6_3_5	187.510000	187.499500
SB_Start_Beep	225151.775189	3_1_6	225.162000	225.151500
SB_Start_Beep	284663.469941	1_3_7	284.674000	284.663000
SB_Start_Beep	354165.113443	3_1_8	354.176000	354.165000
SB_Start_Beep	386676.946686	1_6_9	386.688000	386.676500
SB_Start_Beep	419476.778444	6_3_10	419.488000	419.476500
SB_Start_Beep	452852.607248	3_1_11	452.864000	452.852500
SB_Start_Beep	486152.436449	1_6_12	486.164000	486.152000
SB_Start_Beep	521098.257200	6_1_13	521.110000	521.098000
SB_Start_Beep	557070.072688	1_3_14	557.082000	557.070000
SB_Start_Beep	590743.899970	3_6_15	590.756000	590.743500
SB_Start_Beep	633743.679410	6_1_16	633.756000	633.743500
SB_Start_Beep	669515.495931	1_6_17	669.528000	669.515000
SB_Start_Beep	709283.291948	6_3_18	709.296000	709.283000
SB_Start_Beep	743927.114248	3_6_19	743.940000	743.927000
SB_Start_Beep	782208.917895	6_3_20	782.222000	782.208500
SB_Start_Beep	824118.702925	3_1_21	824.132000	824.118500
SB_Start_Beep	862570.505693	1_1_22	862.584000	862.570500
SB_Start_Beep	897814.324922	1_6_23	897.828000	897.814000
SB_Start_Beep	937838.119627	6_3_24	937.852000	937.838000
SB_Start_Beep	971913.944847	3_6_25	971.928000	971.913500
SB_Start_Beep	1010163.748651	6_3_26	1010.178000	1010.163500
SB_Start_Beep	1043739.576429	3_1_27	1043.754000	1043.739500
SB_Start_Beep	1077269.404450	1_3_28	1077.284000	1077.269000
SB_Start_Beep	1110887.232012	3_6_29	1110.902000	1110.887000
SB_Start_Beep	1146615.048752	6_1_30	1146.630000	1146.615000
SB_Start_Beep	1193630.807599	1_3_31	1193.646000	1193.630500
SB_Start_Beep	1228432.629089	3_1_32	1228.448000	1228.432500
SB_Start_Beep	1265324.439865	1_6_33	1265.340000	1265.324000
SB_Start_Beep	1306220.230097	6_1_34	1306.236000	1306.220000
SB_Start_Beep	1339996.056849	1_6_35	1340.012000	1339.996000
SB_Start_Beep	1373325.885896	6_3_36	1373.342000	1373.325500
SB_Start_Beep	1406411.716187	3_1_37	1406.428000	1406.411500
SB_Start_Beep	1444025.523253	1_3_38	1444.042000	1444.025500
SB_Start_Beep	1478459.346637	3_6_39	1478.476000	1478.459000
SB_Start_Beep	1516383.152113	6_1_40	1516.400000	1516.383000
SB_Start_Beep	1550204.978636	1_3_41	1550.222000	1550.204500
SB_Start_Beep	1591668.765955	3_6_42	1591.686000	1591.668500
SB_Start_Beep	1628382.577637	6_3_43	1628.400000	1628.382500
SB_Start_Beep	1661308.408756	3_1_44	1661.326000	1661.308000
SB_Start_Beep	1694892.236493	1_6_45	1694.910000	1694.892000
SB_Start_Beep	1731114.050699	6_1_46	1731.132000	1731.114000
SB_Start_Beep	1769735.852601	1_6_47	1769.754000	1769.735500
SB_Start_Beep	1808513.653697	6_3_48	1808.532000	1808.513500
SB_Start_Beep	1843583.473819	3_1_49	1843.602000	1843.583000
SB_Start_Beep	1877011.302356	1_3_50	1877.030000	1877.011000
SB_Start_Beep	2149829.329284	3_3_51	2149.804000	2149.829000
SB_Start_Beep	2183941.378361	3_6_52	2183.916000	2183.941000
SB_Start_Beep	2217293.426344	6_1_53	2217.268000	2217.293000
SB_Start_Beep	2255165.480830	1_1_54	2255.140000	2255.165000
SB_Start_Beep	2291075.532486	1_6_55	2291.050000	2291.075500
SB_Start_Beep	2324325.580322	6_3_56	2324.300000	2324.325500
SB_Start_Beep	2362443.635162	3_1_57	2362.418000	2362.443500
SB_Start_Beep	2399915.689073	1_6_58	2399.890000	2399.915500
SB_Start_Beep	2435191.739824	6_3_59	2435.166000	2435.191500
SB_Start_Beep	2471281.791746	3_6_60	2471.256000	2471.281500
SB_Start_Beep	2506271.842086	6_3_61	2506.246000	2506.271500
