type	latency	desc	latencyEEG	latencylastEMGpoint
SB_Start_Beep	21271.188252	0_3_1	21.164000	21.271000
SB_Start_Beep	62884.991973	3_1_2	62.778000	62.884500
SB_Start_Beep	104984.793394	1_6_3	104.878000	104.984500
SB_Start_Beep	350165.636928	6_6_4	350.060000	350.165500
SB_Start_Beep	389015.453686	6_3_5	388.910000	389.015000
SB_Start_Beep	425803.280164	3_1_6	425.698000	425.803000
SB_Start_Beep	517288.848648	1_6_7	517.184000	517.288500
SB_Start_Beep	566022.618778	6_1_8	565.918000	566.022500
SB_Start_Beep	608216.419763	1_3_9	608.112000	608.216000
SB_Start_Beep	671542.121066	3_3_10	671.438000	671.542000
SB_Start_Beep	708451.946975	3_6_11	708.348000	708.451500
SB_Start_Beep	746051.769622	6_1_12	745.948000	746.051500
SB_Start_Beep	796473.531790	1_1_13	796.370000	796.473500
SB_Start_Beep	835643.347039	1_3_14	835.540000	835.643000
SB_Start_Beep	872401.173658	3_6_15	872.298000	872.401000
SB_Start_Beep	909143.000353	6_6_16	909.040000	909.143000
SB_Start_Beep	948820.813206	6_3_17	948.718000	948.820500
SB_Start_Beep	985998.637844	3_1_18	985.896000	985.998500
SB_Start_Beep	1023182.462460	1_1_19	1023.080000	1023.182000
SB_Start_Beep	1065654.262127	1_3_20	1065.552000	1065.654000
SB_Start_Beep	1103272.084690	3_6_21	1103.170000	1103.272000
SB_Start_Beep	1141449.904618	6_6_22	1141.348000	1141.449500
SB_Start_Beep	1178427.730199	6_1_23	1178.326000	1178.427500
SB_Start_Beep	1216037.552799	1_3_24	1215.936000	1216.037500
SB_Start_Beep	1253511.376048	3_3_25	1253.410000	1253.511000
SB_Start_Beep	1293783.186092	3_1_26	1293.682000	1293.783000
SB_Start_Beep	1330229.014183	1_6_27	1330.128000	1330.229000
SB_Start_Beep	1369010.831262	6_1_28	1368.910000	1369.010500
SB_Start_Beep	1405738.658022	1_6_29	1405.638000	1405.738500
SB_Start_Beep	1450378.447470	6_3_30	1450.278000	1450.378000
SB_Start_Beep	1488700.266712	3_3_31	1488.600000	1488.700000
SB_Start_Beep	1529078.076256	3_6_32	1528.978000	1529.078000
SB_Start_Beep	1566741.898609	6_1_33	1566.642000	1566.741500
SB_Start_Beep	1605021.718049	1_6_34	1604.922000	1605.021500
SB_Start_Beep	1643601.536074	6_1_35	1643.502000	1643.601500
SB_Start_Beep	1681207.358700	1_3_36	1681.108000	1681.207000
SB_Start_Beep	1720801.171942	3_3_37	1720.702000	1720.801000
SB_Start_Beep	1763496.970559	3_1_38	1763.398000	1763.496500
SB_Start_Beep	1829940.657155	1_6_39	1829.842000	1829.940500
SB_Start_Beep	1866676.483884	6_3_40	1866.578000	1866.676000
SB_Start_Beep	1905640.300098	3_6_41	1905.542000	1905.640000
SB_Start_Beep	1979953.842642	6_1_42	1979.948000	1979.953500
SB_Start_Beep	2053603.496882	1_3_43	2053.598000	2053.603000
SB_Start_Beep	2104201.259339	3_6_44	2104.196000	2104.201000
SB_Start_Beep	2198300.817573	6_1_45	2198.296000	2198.300500
SB_Start_Beep	2236994.635915	1_3_46	2236.990000	2236.994500
SB_Start_Beep	2275810.453692	3_6_47	2275.806000	2275.810000
SB_Start_Beep	2315318.268213	6_1_48	2315.314000	2315.318000
SB_Start_Beep	2353358.089625	1_6_49	2353.354000	2353.358000
SB_Start_Beep	2392147.907524	6_1_50	2392.144000	2392.147500
SB_Start_Beep	2431419.723153	1_3_51	2431.416000	2431.419500
SB_Start_Beep	2469529.544237	3_3_52	2469.526000	2469.529500
SB_Start_Beep	2515023.330662	3_1_53	2515.020000	2515.023000
SB_Start_Beep	2559521.121757	1_6_54	2559.518000	2559.521000
SB_Start_Beep	2600342.930116	6_3_55	2600.340000	2600.342500
SB_Start_Beep	2639272.747350	3_6_56	2639.270000	2639.272500
SB_Start_Beep	2676240.573796	6_1_57	2676.238000	2676.240500
SB_Start_Beep	2721894.359470	1_1_58	2721.892000	2721.894000
SB_Start_Beep	2761238.174761	1_3_59	2761.236000	2761.238000
SB_Start_Beep	2799883.993335	3_6_60	2799.882000	2799.883500
SB_Start_Beep	2838245.813236	6_3_61	2838.244000	2838.245500
SB_Start_Beep	2880515.614791	3_6_62	2880.514000	2880.515500
SB_Start_Beep	3146632.365461	6_1_63	3146.632000	3146.632000
SB_Start_Beep	3184180.189184	1_3_64	3184.180000	3184.180000
SB_Start_Beep	3247743.890776	3_1_65	3247.744000	3247.743500
SB_Start_Beep	3285021.715766	1_6_66	3285.022000	3285.021500
SB_Start_Beep	3324371.531029	6_1_67	3324.372000	3324.371500
SB_Start_Beep	3361993.354411	1_3_68	3361.994000	3361.993000
SB_Start_Beep	3400025.175861	3_6_69	3400.026000	3400.025000
SB_Start_Beep	3437494.999957	6_3_70	3437.496000	3437.494500
SB_Start_Beep	3476784.815501	3_6_71	3476.786000	3476.784500
SB_Start_Beep	3516586.628642	6_1_72	3516.588000	3516.586500
SB_Start_Beep	3557128.438315	1_6_73	3557.130000	3557.128000
SB_Start_Beep	3595344.258902	6_1_74	3595.346000	3595.344000
SB_Start_Beep	3632422.084831	1_3_75	3632.424000	3632.422000
SB_Start_Beep	3687223.827558	3_6_76	3687.226000	3687.223500
SB_Start_Beep	3724635.651919	6_3_77	3724.638000	3724.635500
SB_Start_Beep	3763765.468221	3_1_78	3763.768000	3763.765000
SB_Start_Beep	3808123.004351	1_1_79	3808.102000	3808.123000
SB_Start_Beep	3847062.881576	1_3_80	3847.042000	3847.062500
SB_Start_Beep	3884582.763271	3_6_81	3884.562000	3884.582500
SB_Start_Beep	3981776.456813	6_6_82	3981.756000	3981.776000
SB_Start_Beep	4020870.333545	6_3_83	4020.850000	4020.870000
SB_Start_Beep	4058524.214817	3_1_84	4058.504000	4058.524000
SB_Start_Beep	4096374.095471	1_3_85	4096.354000	4096.374000
SB_Start_Beep	4135140.782651	3_6_86	4135.156000	4135.140500
SB_Start_Beep	4173774.494937	6_1_87	4173.788000	4173.774000
SB_Start_Beep	4214146.284270	1_3_88	4214.158000	4214.146000
SB_Start_Beep	4254004.050821	3_1_89	4254.014000	4254.004000
SB_Start_Beep	4291643.719051	1_6_90	4291.652000	4291.643500
SB_Start_Beep	4332181.515741	6_3_91	4332.188000	4332.181500
