type	latency	desc	latencyEEG	latencylastEMGpoint
SB_Start_Beep	211510.095892	0_1_1	211.468000	211.510000
SB_Start_Beep	252139.893022	1_6_2	252.098000	252.139500
SB_Start_Beep	288315.712386	6_3_3	288.274000	288.315500
SB_Start_Beep	425485.027467	3_3_4	425.444000	425.485000
SB_Start_Beep	469400.808189	3_3_5	469.360000	469.400500
SB_Start_Beep	507302.618935	3_6_6	507.262000	507.302500
SB_Start_Beep	1078413.767252	6_1_7	1078.376000	1078.413500
SB_Start_Beep	1117615.571506	1_3_8	1117.578000	1117.615500
SB_Start_Beep	1154927.385204	3_1_9	1154.890000	1154.927000
SB_Start_Beep	1194241.188899	1_6_10	1194.204000	1194.241000
SB_Start_Beep	1418258.070332	6_6_11	1418.222000	1418.258000
SB_Start_Beep	1461899.852422	6_3_12	1461.864000	1461.899500
SB_Start_Beep	1505055.636933	3_1_13	1505.020000	1505.055500
SB_Start_Beep	1546619.429400	1_1_14	1546.584000	1546.619000
SB_Start_Beep	1585105.237229	1_3_15	1585.070000	1585.105000
SB_Start_Beep	1623623.044899	3_6_16	1623.588000	1623.623000
SB_Start_Beep	1661472.855910	6_1_17	1661.438000	1661.472500
SB_Start_Beep	1698916.668943	1_3_18	1698.882000	1698.916500
SB_Start_Beep	1739438.466612	3_6_19	1739.404000	1739.438000
SB_Start_Beep	1776978.279165	6_1_20	1776.944000	1776.978000
SB_Start_Beep	1818606.071306	1_6_21	1818.572000	1818.606000
SB_Start_Beep	1856983.879681	6_3_22	1856.950000	1856.983500
SB_Start_Beep	1894207.693812	3_3_23	1894.174000	1894.207500
SB_Start_Beep	1933825.495995	3_1_24	1933.792000	1933.825000
SB_Start_Beep	1970387.313431	1_6_25	1970.354000	1970.387000
SB_Start_Beep	2009561.117825	6_3_26	2009.528000	2009.561000
SB_Start_Beep	2104168.645430	3_6_27	2104.136000	2104.168500
SB_Start_Beep	2147674.428199	6_1_28	2147.642000	2147.674000
SB_Start_Beep	2189560.219051	1_3_29	2189.528000	2189.560000
SB_Start_Beep	2227588.029168	3_6_30	2227.556000	2227.588000
SB_Start_Beep	2268157.826598	6_1_31	2268.126000	2268.157500
SB_Start_Beep	2306839.633448	1_1_32	2306.808000	2306.839500
SB_Start_Beep	2343471.450542	1_6_33	2343.440000	2343.471000
SB_Start_Beep	2381793.259190	6_3_34	2381.762000	2381.793000
SB_Start_Beep	2419163.072592	3_1_35	2419.132000	2419.163000
SB_Start_Beep	2455468.891313	1_3_36	2455.438000	2455.468500
SB_Start_Beep	2492582.705993	3_6_37	2492.552000	2492.582500
SB_Start_Beep	2532360.507371	6_3_38	2532.330000	2532.360500
SB_Start_Beep	2571096.313958	3_1_39	2571.066000	2571.096000
SB_Start_Beep	2612212.108656	1_6_40	2612.182000	2612.212000
SB_Start_Beep	2671973.810255	6_6_41	2671.944000	2671.973500
SB_Start_Beep	2711065.615058	6_1_42	2711.036000	2711.065500
SB_Start_Beep	2747315.434059	1_3_43	2747.286000	2747.315000
SB_Start_Beep	2788977.259297	3_1_44	2789.478000	2788.977000
SB_Start_Beep	2828167.008922	1_3_45	2828.668000	2828.167000
SB_Start_Beep	2865626.769605	3_6_46	2866.128000	2865.626500
SB_Start_Beep	3087345.353107	6_1_47	3087.848000	3087.345000
SB_Start_Beep	3124703.114436	1_6_48	3125.206000	3124.703000
SB_Start_Beep	3163660.865549	6_3_49	3164.164000	3163.660500
SB_Start_Beep	3204000.607826	3_1_50	3204.504000	3204.000500
SB_Start_Beep	3242368.362708	1_3_51	3242.872000	3242.368000
SB_Start_Beep	3282676.105190	3_6_52	3283.180000	3282.676000
SB_Start_Beep	3319875.867534	6_3_53	3320.380000	3319.875500
SB_Start_Beep	3361459.601864	3_1_54	3361.964000	3361.459500
SB_Start_Beep	3399249.360439	1_6_55	3399.754000	3399.249000
SB_Start_Beep	3436927.119723	6_6_56	3437.432000	3436.927000
SB_Start_Beep	3477178.862569	6_1_57	3477.684000	3477.178500
SB_Start_Beep	3514746.622555	1_3_58	3515.252000	3514.746500
SB_Start_Beep	3552800.379444	3_1_59	3553.306000	3552.800000
SB_Start_Beep	3590802.136658	1_6_60	3591.308000	3590.802000
SB_Start_Beep	3631829.874546	6_3_61	3632.336000	3631.829500
SB_Start_Beep	3670563.627084	3_3_62	3671.070000	3670.563500
SB_Start_Beep	3710655.370952	3_6_63	3711.162000	3710.655000
SB_Start_Beep	3749365.123643	6_1_64	3749.872000	3749.365000
SB_Start_Beep	3786424.886881	1_6_65	3786.932000	3786.424500
SB_Start_Beep	3825760.635573	6_1_66	3826.268000	3825.760500
SB_Start_Beep	3862188.402849	1_3_67	3862.696000	3862.188000
SB_Start_Beep	3901880.149267	3_6_68	3902.388000	3901.880000
SB_Start_Beep	3939639.908033	6_3_69	3940.148000	3939.639500
SB_Start_Beep	3977139.668455	3_1_70	3977.648000	3977.139500
SB_Start_Beep	4014559.429393	1_3_71	4015.068000	4014.559000
SB_Start_Beep	4054207.176092	3_1_72	4054.716000	4054.207000
SB_Start_Beep	4098448.893446	1_6_73	4098.958000	4098.448500
SB_Start_Beep	4136474.650507	6_3_74	4136.984000	4136.474500
SB_Start_Beep	4175778.399410	3_6_75	4176.288000	4175.778000
SB_Start_Beep	4236106.013988	6_1_76	4236.616000	4236.106000
SB_Start_Beep	4296009.631282	1_3_77	4296.520000	4296.009500
SB_Start_Beep	4332731.396680	3_1_78	4333.242000	4332.731000
SB_Start_Beep	4369917.159108	1_6_79	4370.428000	4369.917000
SB_Start_Beep	4439513.773840	6_3_80	4440.494000	4439.513500
SB_Start_Beep	4477013.602846	3_1_81	4477.994000	4477.013500
SB_Start_Beep	4513773.435231	1_6_82	4514.754000	4513.773000
SB_Start_Beep	4734336.429503	6_1_83	4735.318000	4734.336000
SB_Start_Beep	4772786.254176	1_3_84	4773.768000	4772.786000
SB_Start_Beep	4819318.041997	3_6_85	4820.300000	4819.318000
SB_Start_Beep	4863707.839591	6_1_86	4864.690000	4863.707500
SB_Start_Beep	4902089.664575	1_3_87	4903.072000	4902.089500
SB_Start_Beep	4951513.439214	3_6_88	4952.496000	4951.513000
SB_Start_Beep	4998685.224117	6_6_89	4999.668000	4998.685000
SB_Start_Beep	5038543.042370	6_1_90	5039.526000	5038.543000
SB_Start_Beep	5078394.860656	1_3_91	5079.378000	5078.394500
SB_Start_Beep	5116786.685594	3_6_92	5117.770000	5116.786500
SB_Start_Beep	5154408.514043	6_3_93	5155.392000	5154.408500
SB_Start_Beep	5192508.340319	3_1_94	5193.492000	5192.508000
SB_Start_Beep	5230592.166661	1_3_95	5231.576000	5230.592000
SB_Start_Beep	5268989.991578	3_1_96	5269.974000	5268.989500
SB_Start_Beep	5306325.821331	1_6_97	5307.310000	5306.325500
SB_Start_Beep	5346863.636483	6_6_98	5347.848000	5346.863500
SB_Start_Beep	5384783.463580	6_1_99	5385.768000	5384.783000
SB_Start_Beep	5421345.296862	1_3_100	5422.330000	5421.345000
SB_Start_Beep	5459259.123980	3_3_101	5460.244000	5459.259000
SB_Start_Beep	5497656.948896	3_1_102	5498.642000	5497.656500
SB_Start_Beep	5535292.777282	1_6_103	5536.278000	5535.292500
SB_Start_Beep	5572716.606633	6_1_104	5573.702000	5572.716500
SB_Start_Beep	5610452.434569	1_6_105	5611.438000	5610.452000
SB_Start_Beep	5648378.261632	6_3_106	5649.364000	5648.378000
SB_Start_Beep	5688458.078872	3_6_107	5689.444000	5688.458000
SB_Start_Beep	5726109.907191	6_3_108	5727.096000	5726.109500
SB_Start_Beep	5763511.736643	3_1_109	5764.498000	5763.511500
SB_Start_Beep	5800663.567235	1_3_110	5801.650000	5800.663500
SB_Start_Beep	5837859.397633	3_6_111	5838.846000	5837.859000
SB_Start_Beep	5875149.227596	6_1_112	5876.136000	5875.149000
SB_Start_Beep	5923401.007573	1_3_113	5924.388000	5923.401000
SB_Start_Beep	5962150.830885	3_6_114	5963.138000	5962.150500
SB_Start_Beep	5999606.660091	6_1_115	6000.594000	5999.606500
SB_Start_Beep	6073286.111957	1_1_116	6074.642000	6073.286000
SB_Start_Beep	6110185.929381	1_3_117	6111.542000	6110.185500
