type	latency	desc	latencyEEG	latencylastEMGpoint
SB_Start_Beep	84867.918313	1_3_1	84.872000	84.867500
SB_Start_Beep	126199.717853	3_6_2	126.204000	126.199500
SB_Start_Beep	1786357.666180	6_6_3	1786.370000	1786.357500
SB_Start_Beep	1819007.507828	6_1_4	1819.020000	1819.007500
SB_Start_Beep	1860201.308044	1_3_5	1860.214000	1860.201000
SB_Start_Beep	1911183.060782	3_6_6	1911.196000	1911.183000
SB_Start_Beep	1944498.899207	6_3_7	1944.512000	1944.498500
SB_Start_Beep	1978030.736577	3_1_8	1978.044000	1978.030500
SB_Start_Beep	2010348.579835	1_1_9	2010.362000	2010.348500
SB_Start_Beep	2045182.410898	1_6_10	2045.196000	2045.182000
SB_Start_Beep	2078716.248258	6_3_11	2078.730000	2078.716000
SB_Start_Beep	2120880.043764	3_3_12	2120.894000	2120.880000
SB_Start_Beep	2153511.885506	3_6_13	2153.526000	2153.511500
SB_Start_Beep	2186125.727328	6_1_14	2186.140000	2186.125500
SB_Start_Beep	2227131.528450	1_6_15	2227.146000	2227.131500
SB_Start_Beep	2261485.361840	6_1_16	2261.500000	2261.485000
SB_Start_Beep	2298685.181421	1_3_17	2298.700000	2298.685000
SB_Start_Beep	2332209.018830	3_6_18	2332.224000	2332.209000
SB_Start_Beep	2366758.851269	6_1_19	2366.774000	2366.758500
SB_Start_Beep	2408078.650868	1_3_20	2408.094000	2408.078500
SB_Start_Beep	2445008.471765	3_1_21	2445.024000	2445.008000
SB_Start_Beep	2478470.309474	1_6_22	2478.486000	2478.470000
SB_Start_Beep	2511040.151510	6_3_23	2511.056000	2511.040000
SB_Start_Beep	2546165.981157	3_6_24	2546.182000	2546.165500
SB_Start_Beep	2582427.805286	6_1_25	2582.444000	2582.427500
SB_Start_Beep	2615379.645470	1_3_26	2615.396000	2615.379500
SB_Start_Beep	2649983.477647	3_1_27	2650.000000	2649.983000
SB_Start_Beep	2683067.317191	1_3_28	2683.084000	2683.067000
SB_Start_Beep	2717703.149207	3_6_29	2717.720000	2717.703000
SB_Start_Beep	2753684.974701	6_6_30	2753.702000	2753.684500
SB_Start_Beep	2788402.806319	6_3_31	2788.420000	2788.402500
SB_Start_Beep	2821844.644126	3_1_32	2821.862000	2821.844500
SB_Start_Beep	2856504.476032	1_6_33	2856.522000	2856.504000
SB_Start_Beep	2895028.289191	6_1_34	2895.046000	2895.028000
SB_Start_Beep	2929184.123535	1_3_35	2929.202000	2929.184000
SB_Start_Beep	2962441.962241	3_1_36	2962.460000	2962.441500
SB_Start_Beep	2996435.797371	1_3_37	2996.454000	2996.435500
SB_Start_Beep	3030373.632772	3_6_38	3030.392000	3030.373500
SB_Start_Beep	3062791.475552	6_1_39	3062.810000	3062.791000
SB_Start_Beep	3095249.318131	1_6_40	3095.268000	3095.249000
SB_Start_Beep	3133137.134375	6_3_41	3133.156000	3133.137000
SB_Start_Beep	3166324.973420	3_3_42	3166.344000	3166.324500
SB_Start_Beep	3198918.815340	3_1_43	3198.938000	3198.918500
SB_Start_Beep	3234682.641885	1_6_44	3234.702000	3234.682500
SB_Start_Beep	3268612.477332	6_1_45	3268.632000	3268.612000
SB_Start_Beep	3305836.296796	1_3_46	3305.856000	3305.836000
SB_Start_Beep	3339896.131605	3_6_47	3339.916000	3339.896000
SB_Start_Beep	3373241.969884	6_3_48	3373.262000	3373.241500
SB_Start_Beep	3408415.799291	3_1_49	3408.436000	3408.415500
SB_Start_Beep	3447955.607523	1_6_50	3447.976000	3447.955500
SB_Start_Beep	3490390.099002	6_6_51	3490.326000	3490.390000
SB_Start_Beep	3526833.932882	6_1_52	3526.770000	3526.833500
SB_Start_Beep	3571999.726996	1_3_53	3571.936000	3571.999500
SB_Start_Beep	3608237.561807	3_6_54	3608.174000	3608.237500
SB_Start_Beep	3643451.401293	6_3_55	3643.388000	3643.451000
SB_Start_Beep	3677287.247054	3_1_56	3677.224000	3677.287000
SB_Start_Beep	3710921.093736	1_6_57	3710.858000	3710.921000
SB_Start_Beep	3746154.933131	6_3_58	3746.092000	3746.154500
SB_Start_Beep	3780616.776038	3_1_59	3780.554000	3780.616500
SB_Start_Beep	3818052.605389	1_6_60	3817.990000	3818.052500
SB_Start_Beep	3851228.454165	6_1_61	3851.166000	3851.228000
SB_Start_Beep	3884758.301321	1_3_62	3884.696000	3884.758000
SB_Start_Beep	3918576.147164	3_3_63	3918.514000	3918.576000
SB_Start_Beep	3956267.975354	3_1_64	3956.206000	3956.267500
SB_Start_Beep	3990557.819046	1_6_65	3990.496000	3990.557500
SB_Start_Beep	4027769.649417	6_3_66	4027.708000	4027.769500
SB_Start_Beep	4062079.493024	3_6_67	4062.018000	4062.079000
SB_Start_Beep	4097853.329951	6_1_68	4097.792000	4097.853000
SB_Start_Beep	4132413.172412	1_6_69	4132.352000	4132.413000
SB_Start_Beep	4168269.008964	6_1_70	4168.208000	4168.269000
SB_Start_Beep	4203120.850101	1_3_71	4203.060000	4203.120500
SB_Start_Beep	4235714.701523	3_6_72	4235.654000	4235.714500
SB_Start_Beep	4269600.547056	6_3_73	4269.540000	4269.600500
SB_Start_Beep	4304300.388885	3_1_74	4304.240000	4304.300000
SB_Start_Beep	4337498.237555	1_1_75	4337.438000	4337.498000
SB_Start_Beep	4371834.081036	1_6_76	4371.774000	4371.834000
SB_Start_Beep	4412181.897120	6_3_77	4412.122000	4412.181500
SB_Start_Beep	4447381.736663	3_6_78	4447.322000	4447.381500
SB_Start_Beep	4484431.567773	6_1_79	4484.372000	4484.431500
SB_Start_Beep	4518789.411161	1_3_80	4518.730000	4518.789000
SB_Start_Beep	4553017.255135	3_3_81	4552.958000	4553.017000
SB_Start_Beep	4587517.097869	3_6_82	4587.458000	4587.517000
SB_Start_Beep	4622064.940391	6_1_83	4622.006000	4622.064500
SB_Start_Beep	4657184.780299	1_1_84	4657.126000	4657.184500
SB_Start_Beep	4692808.617910	1_3_85	4692.750000	4692.808500
SB_Start_Beep	4730264.447176	3_6_86	4730.206000	4730.264000
SB_Start_Beep	4770154.265340	6_3_87	4770.096000	4770.154000
SB_Start_Beep	4803714.112359	3_6_88	4803.656000	4803.714000
SB_Start_Beep	4836703.961983	6_1_89	4836.646000	4836.703500
SB_Start_Beep	4872229.800040	1_6_90	4872.172000	4872.229500
SB_Start_Beep	4905871.646686	6_1_91	4905.814000	4905.871500
SB_Start_Beep	4939117.495143	1_3_92	4939.060000	4939.117000
SB_Start_Beep	4973989.336181	3_3_93	4973.932000	4973.989000
SB_Start_Beep	5012257.161739	3_6_94	5012.200000	5012.257000
SB_Start_Beep	5048068.998499	6_1_95	5048.012000	5048.068500
SB_Start_Beep	5104204.529796	1_1_96	5104.146000	5104.204500
SB_Start_Beep	5139686.373134	1_6_97	5139.628000	5139.686000
SB_Start_Beep	5176550.210364	6_3_98	5176.492000	5176.550000
SB_Start_Beep	5211872.054402	3_1_99	5211.814000	5211.872000
SB_Start_Beep	5246255.902589	1_3_100	5246.198000	5246.255500
SB_Start_Beep	5284099.735492	3_6_101	5284.042000	5284.099500
SB_Start_Beep	5317725.587018	6_3_102	5317.668000	5317.725500
SB_Start_Beep	5354499.424652	3_1_103	5354.442000	5354.499000
SB_Start_Beep	5391169.262739	1_6_104	5391.112000	5391.169000
SB_Start_Beep	5427953.100322	6_1_105	5427.896000	5427.953000
SB_Start_Beep	5461076.954072	1_3_106	5461.020000	5461.076500
SB_Start_Beep	5494292.807409	3_6_107	5494.236000	5494.292500
SB_Start_Beep	5528030.658441	6_6_108	5527.974000	5528.030500
SB_Start_Beep	5563140.503416	6_1_109	5563.084000	5563.140500
SB_Start_Beep	5599746.341791	1_3_110	5599.690000	5599.746000
SB_Start_Beep	5637094.176884	3_6_111	5637.038000	5637.094000
SB_Start_Beep	5673600.015694	6_1_112	5673.544000	5673.600000
SB_Start_Beep	5709907.855386	1_3_113	5709.852000	5709.907500
SB_Start_Beep	5747393.689869	3_3_114	5747.338000	5747.393500
SB_Start_Beep	5782835.533378	3_1_115	5782.780000	5782.835500
SB_Start_Beep	5819513.371435	1_6_116	5819.458000	5819.513000
SB_Start_Beep	5864115.174498	6_3_117	5864.060000	5864.115000
SB_Start_Beep	5910276.970680	3_1_118	5910.222000	5910.276500
SB_Start_Beep	5947942.804369	1_6_119	5947.888000	5947.942500
SB_Start_Beep	5983938.645431	6_1_120	5983.884000	5983.938500
SB_Start_Beep	6018492.492867	1_6_121	6018.438000	6018.492000
SB_Start_Beep	6059730.310784	6_3_122	6059.676000	6059.730000
SB_Start_Beep	6103050.119508	3_6_123	6102.996000	6103.050000
SB_Start_Beep	6138345.963667	6_3_124	6138.292000	6138.345500
SB_Start_Beep	6176379.795731	3_1_125	6176.326000	6176.379500
SB_Start_Beep	6209357.650119	1_6_126	6209.304000	6209.357500
SB_Start_Beep	6244547.494747	6_3_127	6244.494000	6244.547000
SB_Start_Beep	6279273.341417	3_1_128	6279.220000	6279.273000
SB_Start_Beep	6317295.173534	1_6_129	6317.242000	6317.295000
SB_Start_Beep	6355499.004847	6_1_130	6355.446000	6355.499000
SB_Start_Beep	6401368.802318	1_3_131	6401.316000	6401.368500
SB_Start_Beep	6442110.622424	3_1_132	6442.058000	6442.110500
SB_Start_Beep	6475384.475512	1_3_133	6475.332000	6475.384000
SB_Start_Beep	6508832.327825	3_6_134	6508.780000	6508.832000
SB_Start_Beep	6544506.170309	6_1_135	6544.454000	6544.506000
SB_Start_Beep	6578980.018092	1_6_136	6578.928000	6578.980000
SB_Start_Beep	6614443.861510	6_3_137	6614.392000	6614.443500
SB_Start_Beep	6684575.551847	3_6_138	6684.524000	6684.575500
SB_Start_Beep	6720667.392492	6_1_139	6720.616000	6720.667000
SB_Start_Beep	6754037.245149	1_3_140	6753.986000	6754.037000
PC_Pressure_Change	82867.928013	1_3_1	82.872000	82.867500
PC_Pressure_Change	124199.727553	3_6_2	124.204000	124.199500
PC_Pressure_Change	1784357.675880	6_6_3	1784.370000	1784.357500
PC_Pressure_Change	1817007.517528	6_1_4	1817.020000	1817.007500
PC_Pressure_Change	1858201.317744	1_3_5	1858.214000	1858.201000
PC_Pressure_Change	1909183.070482	3_6_6	1909.196000	1909.183000
PC_Pressure_Change	1942498.908907	6_3_7	1942.512000	1942.498500
PC_Pressure_Change	1976030.746277	3_1_8	1976.044000	1976.030500
PC_Pressure_Change	2008348.589535	1_1_9	2008.362000	2008.348500
PC_Pressure_Change	2043182.420598	1_6_10	2043.196000	2043.182000
PC_Pressure_Change	2076716.257958	6_3_11	2076.730000	2076.716000
PC_Pressure_Change	2118880.053464	3_3_12	2118.894000	2118.880000
PC_Pressure_Change	2151511.895205	3_6_13	2151.526000	2151.511500
PC_Pressure_Change	2184125.737028	6_1_14	2184.140000	2184.125500
PC_Pressure_Change	2225131.538150	1_6_15	2225.146000	2225.131500
PC_Pressure_Change	2259485.371540	6_1_16	2259.500000	2259.485000
PC_Pressure_Change	2296685.191120	1_3_17	2296.700000	2296.685000
PC_Pressure_Change	2330209.028530	3_6_18	2330.224000	2330.209000
PC_Pressure_Change	2364758.860969	6_1_19	2364.774000	2364.758500
PC_Pressure_Change	2406078.660568	1_3_20	2406.094000	2406.078500
PC_Pressure_Change	2443008.481465	3_1_21	2443.024000	2443.008000
PC_Pressure_Change	2476470.319174	1_6_22	2476.486000	2476.470000
PC_Pressure_Change	2509040.161210	6_3_23	2509.056000	2509.040000
PC_Pressure_Change	2544165.990856	3_6_24	2544.182000	2544.165500
PC_Pressure_Change	2580427.814986	6_1_25	2580.444000	2580.427500
PC_Pressure_Change	2613379.655170	1_3_26	2613.396000	2613.379500
PC_Pressure_Change	2647983.487347	3_1_27	2648.000000	2647.983000
PC_Pressure_Change	2681067.326891	1_3_28	2681.084000	2681.067000
PC_Pressure_Change	2715703.158907	3_6_29	2715.720000	2715.703000
PC_Pressure_Change	2751684.984401	6_6_30	2751.702000	2751.684500
PC_Pressure_Change	2786402.816019	6_3_31	2786.420000	2786.402500
PC_Pressure_Change	2819844.653826	3_1_32	2819.862000	2819.844500
PC_Pressure_Change	2854504.485732	1_6_33	2854.522000	2854.504000
PC_Pressure_Change	2893028.298891	6_1_34	2893.046000	2893.028000
PC_Pressure_Change	2927184.133235	1_3_35	2927.202000	2927.184000
PC_Pressure_Change	2960441.971941	3_1_36	2960.460000	2960.441500
PC_Pressure_Change	2994435.807071	1_3_37	2994.454000	2994.435500
PC_Pressure_Change	3028373.642472	3_6_38	3028.392000	3028.373500
PC_Pressure_Change	3060791.485252	6_1_39	3060.810000	3060.791000
PC_Pressure_Change	3093249.327831	1_6_40	3093.268000	3093.249000
PC_Pressure_Change	3131137.144075	6_3_41	3131.156000	3131.137000
PC_Pressure_Change	3164324.983120	3_3_42	3164.344000	3164.324500
PC_Pressure_Change	3196918.825040	3_1_43	3196.938000	3196.918500
PC_Pressure_Change	3232682.651585	1_6_44	3232.702000	3232.682500
PC_Pressure_Change	3266612.487032	6_1_45	3266.632000	3266.612000
PC_Pressure_Change	3303836.306496	1_3_46	3303.856000	3303.836000
PC_Pressure_Change	3337896.141305	3_6_47	3337.916000	3337.896000
PC_Pressure_Change	3371243.979575	6_3_48	3371.264000	3371.243500
PC_Pressure_Change	3406415.808991	3_1_49	3406.436000	3406.415500
PC_Pressure_Change	3445955.617223	1_6_50	3445.976000	3445.955500
PC_Pressure_Change	3488390.108119	6_6_51	3488.326000	3488.390000
PC_Pressure_Change	3524833.941999	6_1_52	3524.770000	3524.833500
PC_Pressure_Change	3569999.736112	1_3_53	3569.936000	3569.999500
PC_Pressure_Change	3606237.570924	3_6_54	3606.174000	3606.237500
PC_Pressure_Change	3641451.410410	6_3_55	3641.388000	3641.451000
PC_Pressure_Change	3675287.256171	3_1_56	3675.224000	3675.287000
PC_Pressure_Change	3708921.102853	1_6_57	3708.858000	3708.921000
PC_Pressure_Change	3744154.942248	6_3_58	3744.092000	3744.154500
PC_Pressure_Change	3778616.785155	3_1_59	3778.554000	3778.616500
PC_Pressure_Change	3816052.614506	1_6_60	3815.990000	3816.052500
